Operation [op1=478, op2=332, op3=-453, op4=428, result=1691]
Operation [op1=340, op2=-365, op3=-113, op4=-261, result=-173]
Operation [op1=472, op2=276, op3=484, op4=110, result=374]
Operation [op1=-273, op2=46, op3=-186, op4=-130, result=-171]
Operation [op1=32, op2=-214, op3=-259, op4=-299, result=-222]
Operation [op1=174, op2=-246, op3=62, op4=-71, result=-205]
Operation [op1=-34, op2=300, op3=-298, op4=131, result=695]
Operation [op1=429, op2=-310, op3=-308, op4=476, result=903]
Operation [op1=-83, op2=-316, op3=-417, op4=416, result=434]
Operation [op1=-458, op2=317, op3=231, op4=-135, result=-507]
Operation [op1=345, op2=-192, op3=-46, op4=-354, result=-155]
Operation [op1=391, op2=33, op3=-201, op4=-445, result=180]
Operation [op1=63, op2=-215, op3=150, op4=-339, result=-641]
Operation [op1=-128, op2=-291, op3=-165, op4=110, result=-144]
Operation [op1=306, op2=448, op3=13, op4=229, result=970]
Operation [op1=-110, op2=-311, op3=271, op4=-469, result=-1161]
Operation [op1=-419, op2=-136, op3=-349, op4=294, result=88]
Operation [op1=-281, op2=-237, op3=-317, op4=-256, result=-457]
Operation [op1=242, op2=-204, op3=376, op4=-447, result=-785]
Operation [op1=-308, op2=-133, op3=332, op4=-201, result=-974]
Operation [op1=348, op2=-337, op3=-224, op4=-346, result=-111]
Operation [op1=-28, op2=-497, op3=-497, op4=-469, result=-497]
Operation [op1=-455, op2=220, op3=345, op4=-460, result=-1040]
Operation [op1=-281, op2=-303, op3=458, op4=184, result=-858]
Operation [op1=64, op2=-356, op3=-44, op4=-216, result=-464]
Operation [op1=248, op2=-429, op3=-232, op4=141, result=192]
Operation [op1=247, op2=-247, op3=-315, op4=-295, result=20]
Operation [op1=-147, op2=-225, op3=-43, op4=-68, result=-397]
Operation [op1=-499, op2=410, op3=411, op4=-213, result=-713]
Operation [op1=-294, op2=497, op3=-355, op4=-378, result=180]
Operation [op1=27, op2=218, op3=251, op4=-12, result=-18]
Operation [op1=-454, op2=14, op3=39, op4=-490, result=-969]
Operation [op1=-291, op2=355, op3=-111, op4=-454, result=-279]
Operation [op1=235, op2=-149, op3=247, op4=272, result=111]
Operation [op1=426, op2=461, op3=103, op4=-100, result=684]
Operation [op1=-361, op2=-484, op3=221, op4=-300, result=-1366]
Operation [op1=95, op2=429, op3=-381, op4=-137, result=768]
Operation [op1=163, op2=-259, op3=-172, op4=-329, result=-253]
Operation [op1=237, op2=452, op3=179, op4=420, result=930]
Operation [op1=395, op2=78, op3=341, op4=334, result=466]
Operation [op1=-446, op2=232, op3=-83, op4=344, result=213]
Operation [op1=375, op2=-197, op3=127, op4=-120, result=-69]
Operation [op1=78, op2=-420, op3=-314, op4=44, result=16]
Operation [op1=500, op2=-35, op3=-156, op4=14, result=635]
Operation [op1=16, op2=-153, op3=-202, op4=-389, result=-324]
Operation [op1=84, op2=7, op3=195, op4=-486, result=-590]
Operation [op1=-445, op2=418, op3=235, op4=-87, result=-349]
